,year,state,r_win,d_win,r_votes,d_votes
415,1992,KANSAS,2.0,2.0,591712.0,488381.0
416,1992,KENTUCKY,2.0,4.0,638166.0,721747.0
417,1992,LOUISIANA,3.0,4.0,398680.0,284913.0
418,1992,MAINE,1.0,1.0,278258.0,363520.0
419,1992,MARYLAND,4.0,4.0,849779.0,955952.0
420,1992,MASSACHUSETTS,2.0,8.0,856572.0,1518208.0
421,1992,MICHIGAN,6.0,10.0,1855241.0,1913175.0
422,1992,MINNESOTA,0.0,0.0,0.0,0.0
423,1992,MISSISSIPPI,0.0,5.0,273234.0,669582.0
424,1992,MISSOURI,3.0,6.0,1036268.0,1269486.0
425,1992,MONTANA,0.0,1.0,189570.0,203711.0
426,1992,NEBRASKA,2.0,1.0,427398.0,283278.0
427,1992,NEVADA,1.0,1.0,213792.0,245477.0
428,1992,NEW HAMPSHIRE,1.0,1.0,227062.0,265906.0
429,1992,NEW JERSEY,6.0,7.0,1503145.0,1354915.0
430,1992,NEW MEXICO,2.0,1.0,277833.0,272607.0
431,1992,NEW YORK,12.0,19.0,2371652.0,2946645.0
432,1992,NORTH CAROLINA,4.0,8.0,1203983.0,1282474.0
433,1992,NORTH DAKOTA,0.0,1.0,117442.0,169273.0
434,1992,OHIO,9.0,10.0,2154080.0,2198039.0
435,1992,OKLAHOMA,2.0,4.0,504133.0,764249.0
436,1992,OREGON,1.0,4.0,553101.0,824796.0
437,1992,PENNSYLVANIA,10.0,11.0,2347441.0,2154372.0
438,1992,RHODE ISLAND,1.0,1.0,185980.0,192542.0
439,1992,SOUTH CAROLINA,3.0,3.0,581159.0,505887.0
440,1992,SOUTH DAKOTA,0.0,1.0,89375.0,230070.0
441,1992,TENNESSEE,3.0,6.0,737690.0,882973.0
442,1992,TEXAS,9.0,21.0,2685973.0,2806044.0
443,1992,UTAH,1.0,2.0,362363.0,331479.0
